country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,147473,6736,98073,42664,1124,3699,169,707244,17739,39869084
Albania,Europe,133081,2457,130222,402,3,46299,855,916777,318945,2874408
Algeria,Africa,171392,4254,115276,51862,47,3834,95,230861,5164,44701619
Andorra,Europe,14678,128,14210,340,,189643,1654,193595,2501292,77398
Angola,Africa,42646,1008,36708,4930,8,1256,30,681443,20065,33961015
Anguilla,North America,113,,111,2,,7460,,31656,2089919,15147
Antigua And Barbuda,North America,1303,43,1235,25,3,13188,435,17147,173549,98802
Argentina,South America,4929764,105721,4569552,254491,3976,108009,2316,19423553,425562,45642150
Armenia,Asia,230110,4614,219864,5632,,77499,1554,1340258,451385,2969212
Aruba,North America,11730,110,11160,460,14,109367,1026,177885,1658540,107254
Australia,Australia/Oceania,34130,924,29926,3280,59,1322,36,25012386,968790,25818165
Austria,Europe,659056,10737,643027,5292,32,72729,1185,66567305,7345969,9061746
Azerbaijan,Asia,343849,5023,332926,5900,,33587,491,4034340,394073,10237543
Bahamas,North America,14840,287,12606,1947,11,37353,722,119868,301716,397288
Bahrain,Asia,269186,1384,266796,1006,4,152526,784,5447238,3086513,1764852
Bangladesh,Asia,1249484,20685,1078212,150587,1349,7506,124,7740894,46504,166455064
Barbados,North America,4390,48,4229,113,,15256,167,217703,756559,287754
Belarus,Europe,446040,3454,440200,2386,,47220,366,7294282,772211,9445972
Belgium,Europe,1124715,25241,1058072,41402,93,96592,2168,17186118,1475968,11643962
Belize,North America,14163,337,13420,406,2,34937,831,183918,453691,405382
Benin,Africa,8394,108,8136,150,5,673,9,604310,48486,12463627
Bermuda,North America,2553,33,2495,25,,41158,532,377525,6086168,62030
Bhutan,Asia,2515,2,2374,139,,3221,3,798573,1022829,780749
Bolivia,South America,472813,17806,407072,47935,200,39919,1503,2063100,174186,11844236
Bosnia And Herzegovina,Europe,205655,9687,189369,6599,,63108,2973,1071650,328849,3258795
Botswana,Africa,106690,1569,95323,9798,1,44406,653,1470906,612213,2402605
Brazil,South America,19917855,556370,18619542,741943,8318,92993,2598,55034721,256948,214186368
British Virgin Islands,North America,2500,31,1914,555,27,82107,1018,73138,2402063,30448
Brunei Darussalam,Asia,337,3,280,54,,762,7,152986,346132,441987
Bulgaria,Europe,424872,18211,398536,8125,75,61647,2642,3612178,524113,6891984
Burkina Faso,Africa,13573,169,13369,35,,631,8,203620,9463,21517590
Burundi,Africa,7080,9,773,6298,,577,,345742,28178,12270120
Cabo Verde,Africa,33791,298,33011,482,23,60075,530,198849,353519,562484
Cambodia,Asia,77243,1397,69996,5850,,4552,82,1809439,106640,16967753
Cameroon,Africa,82064,1334,80433,297,152,3011,49,1751774,64275,27254503
Canada,North America,1430825,26598,1397641,6586,231,37556,698,38466868,1009673,38098354
Caribbean Netherlands,North America,1707,17,1661,29,,64452,642,12584,475137,26485
Cayman Islands,North America,643,2,631,10,,9662,30,117247,1761735,66552
Central African Republic,Africa,7151,98,6859,194,2,1453,20,54814,11141,4919984
Chad,Africa,4973,174,4792,7,,294,10,131713,7779,16930869
Channel Islands,Europe,9208,86,6558,2564,,52441,490,713221,4061901,175588
Chile,South America,1615771,35448,1570492,9831,1395,83750,1837,18662297,967317,19292837
China Hong Kong Sar,Asia,11985,212,11713,60,,1585,28,21390075,2828455,7562460
China Macao Sar,Asia,59,,54,5,,90,,4671,7090,658853
China,Asia,92930,4636,87323,971,26,65,3,160000000,111163,1439323776
Colombia,South America,4785320,120723,4578519,86078,8155,92979,2346,22533319,437825,51466439
Comoros,Africa,4028,147,3865,16,,4528,165,,,889484
Congo,Africa,13186,178,12421,587,,2328,31,188207,33230,5663755
Costa Rica,North America,406814,5030,329639,72145,364,79082,978,1734362,337150,5144185
Cote D Ivoire,Africa,50135,329,49261,545,,1851,12,785677,29014,27078801
Croatia,Europe,363615,8259,354238,1118,11,89166,2025,2299700,563936,4077945
Cuba,North America,384596,2758,338968,42870,340,33977,244,6516361,575693,11319161
Curacao,North America,13625,126,12853,646,4,82668,764,181317,1100118,164816
Cyprus,Asia,101419,419,80178,20822,85,83347,344,9366973,7697899,1216822
